UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
42,1,3.0,-1.0,,
296,1,5.0,-1.0,,
1793,1,-1.0,6.0,,
2411,1,-1.0,1.0,,
2634,1,3.0,-1.0,,
2957,1,-1.0,2.0,,
3714,1,7.0,-1.0,,
4682,1,-1.0,3.0,,
5178,1,-1.0,8.0,,
6131,1,9.0,-1.0,,
7347,1,9.0,-1.0,,
8245,1,1.0,-1.0,,
8412,1,-1.0,3.0,,
9272,1,5.0,-1.0,,
9584,1,9.0,-1.0,,
10291,1,5.0,-1.0,,
10541,1,4.0,-1.0,,
10976,1,-1.0,5.0,,
12119,1,7.0,-1.0,,
12447,1,6.0,-1.0,,
13187,1,8.0,-1.0,,
15248,1,0.0,-1.0,,
15984,1,3.0,-1.0,,
16434,1,0.0,-1.0,,
17609,1,-1.0,6.0,,
18176,1,-1.0,6.0,,
18636,1,-1.0,1.0,,
18730,1,0.0,-1.0,,
19156,1,-1.0,3.0,,
19354,1,-1.0,5.0,,
19662,1,1.0,-1.0,,
20039,1,-1.0,8.0,,
20108,1,0.0,-1.0,,
21617,1,2.0,-1.0,,
22382,1,5.0,-1.0,,
22453,1,-1.0,0.0,,
22766,1,6.0,-1.0,,
24063,1,4.0,-1.0,,
24610,1,0.0,-1.0,,
25088,1,9.0,-1.0,,
25149,1,2.0,-1.0,,
25937,1,-1.0,8.0,,
26465,1,3.0,-1.0,,
26941,1,3.0,-1.0,,
27198,1,-1.0,5.0,,
27496,1,-1.0,2.0,,
27553,1,7.0,-1.0,,
30100,1,-1.0,0.0,,
30480,1,1.0,-1.0,,
30913,1,0.0,-1.0,,
31404,1,-1.0,0.0,,
33206,1,-1.0,9.0,,
33462,1,-1.0,2.0,,
33467,1,-1.0,8.0,,
34048,1,-1.0,9.0,,
34052,1,-1.0,3.0,,
37128,1,-1.0,0.0,,
38149,1,-1.0,8.0,,
38529,1,-1.0,7.0,,
40300,1,8.0,-1.0,,
40592,1,7.0,-1.0,,
42469,1,7.0,-1.0,,
42760,1,2.0,-1.0,,
43951,1,3.0,-1.0,,
44003,1,-1.0,9.0,,
44108,1,-1.0,5.0,,
44504,1,-1.0,5.0,,
44561,1,-1.0,4.0,,
44796,1,5.0,-1.0,,
44935,1,1.0,-1.0,,
46080,1,1.0,-1.0,,
46294,1,-1.0,9.0,,
46518,1,-1.0,0.0,,
46700,1,-1.0,7.0,,
46831,1,-1.0,4.0,,
47770,1,1.0,-1.0,,
47868,1,-1.0,1.0,,
49323,1,-1.0,7.0,,
49327,1,-1.0,0.0,,
49501,1,-1.0,7.0,,
49868,1,0.0,-1.0,,
49871,1,-1.0,6.0,,
50238,1,-1.0,3.0,,
50610,1,3.0,-1.0,,
51840,1,-1.0,3.0,,
52365,1,-1.0,6.0,,
53834,1,3.0,-1.0,,
53969,1,6.0,-1.0,,
55266,1,0.0,-1.0,,
56596,1,0.0,-1.0,,
56749,1,5.0,-1.0,,
57246,1,-1.0,4.0,,
57596,1,4.0,-1.0,,
58217,1,-1.0,1.0,,
59348,1,2.0,-1.0,,
61364,1,2.0,-1.0,,
61390,1,-1.0,8.0,,
61771,1,-1.0,5.0,,
62069,1,-1.0,5.0,,
62332,1,-1.0,3.0,,
63159,1,1.0,-1.0,,
63587,1,9.0,-1.0,,
64104,1,-1.0,5.0,,
65563,1,6.0,-1.0,,
67220,1,8.0,-1.0,,
67267,1,-1.0,3.0,,
67439,1,-1.0,9.0,,
67769,1,7.0,-1.0,,
67988,1,-1.0,0.0,,
68366,1,8.0,-1.0,,
68427,1,4.0,-1.0,,
68564,1,0.0,-1.0,,
70292,1,-1.0,4.0,,
70324,1,-1.0,6.0,,
70678,1,0.0,-1.0,,
71346,1,8.0,-1.0,,
72701,1,0.0,-1.0,,
73351,1,1.0,-1.0,,
74377,1,4.0,-1.0,,
74546,1,-1.0,5.0,,
74936,1,-1.0,1.0,,
75447,1,3.0,-1.0,,
75853,1,6.0,-1.0,,
75871,1,8.0,-1.0,,
76045,1,-1.0,4.0,,
76494,1,2.0,-1.0,,
76845,1,4.0,-1.0,,
77225,1,6.0,-1.0,,
78166,1,-1.0,3.0,,
78743,1,-1.0,9.0,,
80858,1,7.0,-1.0,,
80995,1,1.0,-1.0,,
81619,1,-1.0,7.0,,
82582,1,7.0,-1.0,,
82665,1,-1.0,8.0,,
82686,1,-1.0,4.0,,
83434,1,-1.0,4.0,,
84483,1,9.0,-1.0,,
85171,1,8.0,-1.0,,
85698,1,2.0,-1.0,,
85838,1,5.0,-1.0,,
86321,1,-1.0,7.0,,
86455,1,-1.0,3.0,,
88457,1,-1.0,5.0,,
88771,1,0.0,-1.0,,
89471,1,6.0,-1.0,,
89598,1,7.0,-1.0,,
90085,1,6.0,-1.0,,
90362,1,7.0,-1.0,,
90519,1,-1.0,1.0,,
90849,1,-1.0,0.0,,
90902,1,0.0,-1.0,,
92758,1,9.0,-1.0,,
93002,1,4.0,-1.0,,
93008,1,0.0,-1.0,,
93088,1,9.0,-1.0,,
93754,1,5.0,-1.0,,
93908,1,0.0,-1.0,,
94681,1,-1.0,8.0,,
95954,1,4.0,-1.0,,
96089,1,-1.0,9.0,,
96681,1,4.0,-1.0,,
97180,1,8.0,-1.0,,
97521,1,2.0,-1.0,,
99195,1,1.0,-1.0,,
99285,1,3.0,-1.0,,
99942,1,-1.0,0.0,,
100019,1,0.0,-1.0,,
100504,1,-1.0,3.0,,
100816,1,-1.0,2.0,,
101379,1,-1.0,6.0,,
101401,1,-1.0,7.0,,
101848,1,8.0,-1.0,,
102169,1,3.0,-1.0,,
102171,1,2.0,-1.0,,
102240,1,-1.0,4.0,,
102637,1,9.0,-1.0,,
102827,1,-1.0,2.0,,
103035,1,-1.0,4.0,,
103222,1,-1.0,3.0,,
103366,1,-1.0,1.0,,
104197,1,-1.0,9.0,,
104697,1,-1.0,6.0,,
105768,1,6.0,-1.0,,
107630,1,4.0,-1.0,,
107948,1,7.0,-1.0,,
107964,1,4.0,-1.0,,
107999,1,-1.0,0.0,,
108719,1,5.0,-1.0,,
108725,1,-1.0,9.0,,
109733,1,6.0,-1.0,,
110279,1,2.0,-1.0,,
110500,1,2.0,-1.0,,
111366,1,-1.0,7.0,,
111558,1,-1.0,4.0,,
111911,1,-1.0,6.0,,
112264,1,6.0,-1.0,,
113785,1,1.0,-1.0,,
114043,1,-1.0,5.0,,
114650,1,3.0,-1.0,,
115465,1,-1.0,4.0,,
115881,1,-1.0,3.0,,
116093,1,0.0,-1.0,,
116529,1,4.0,-1.0,,
117337,1,9.0,-1.0,,
117610,1,9.0,-1.0,,
118379,1,5.0,-1.0,,
118789,1,5.0,-1.0,,
119599,1,-1.0,4.0,,
119765,1,0.0,-1.0,,
119768,1,-1.0,0.0,,
119946,1,-1.0,8.0,,
120524,1,-1.0,3.0,,
121546,1,-1.0,0.0,,
122858,1,-1.0,6.0,,
122965,1,4.0,-1.0,,
123837,1,8.0,-1.0,,
124981,1,-1.0,5.0,,
125855,1,4.0,-1.0,,
126665,1,5.0,-1.0,,
126749,1,-1.0,1.0,,
127330,1,-1.0,3.0,,
128261,1,-1.0,6.0,,
128274,1,0.0,-1.0,,
129430,1,-1.0,3.0,,
129796,1,-1.0,9.0,,
129853,1,-1.0,5.0,,
132005,1,-1.0,5.0,,
132293,1,-1.0,6.0,,
132430,1,-1.0,5.0,,
132644,1,0.0,-1.0,,
134322,1,-1.0,2.0,,
134692,1,3.0,-1.0,,
135419,1,-1.0,4.0,,
137259,1,2.0,-1.0,,
138010,1,1.0,-1.0,,
138210,1,9.0,-1.0,,
138304,1,-1.0,6.0,,
138998,1,4.0,-1.0,,
139163,1,-1.0,8.0,,
139753,1,9.0,-1.0,,
140440,1,-1.0,8.0,,
140518,1,-1.0,6.0,,
140826,1,-1.0,7.0,,
